0,0,1496518102.896031,My very first block :),0,02d779570304667b4c28ba1dbfd4428844a7cab89023205c66858a40937557f8
1,02d779570304667b4c28ba1dbfd4428844a7cab89023205c66858a40937557f8,1516624734.976609,User 873 sent 50 tokens to user 975. User 450 sent 55 tokens to user 548. User 284 sent 43 tokens to user 577. User 744 sent 11 tokens to user 582. User 478 sent 92 tokens to user 499. ,29,5ff705763de6689107269b456d9cc59f273347d2a4c5af3e0ee9d7652cfe6419
2,5ff705763de6689107269b456d9cc59f273347d2a4c5af3e0ee9d7652cfe6419,1516624734.977355,User 738 sent 18 tokens to user 368. User 192 sent 6 tokens to user 421. User 128 sent 77 tokens to user 417. User 261 sent 7 tokens to user 308. User 318 sent 7 tokens to user 232. ,3,5b4ff6eddbdef8928fd223ac00189d8b7dab205a2a371e56e66e75510919bf05
3,5b4ff6eddbdef8928fd223ac00189d8b7dab205a2a371e56e66e75510919bf05,1516627668.623892,User 297 sent 73 tokens to user 464. User 686 sent 9 tokens to user 165. User 463 sent 75 tokens to user 703. User 415 sent 86 tokens to user 460. User 742 sent 68 tokens to user 574. ,1,521dee665b49052de8305eebb5cc749c03ad5e3594d923afd6399a774a6c43a0
4,521dee665b49052de8305eebb5cc749c03ad5e3594d923afd6399a774a6c43a0,1516627668.624418,User 968 sent 96 tokens to user 159. User 135 sent 52 tokens to user 942. User 442 sent 85 tokens to user 85. User 648 sent 14 tokens to user 292. User 7 sent 59 tokens to user 508. ,21,59917577f34f5a3554b034e3243723b422a4621a25b2b4ad4294519ac128feca
5,59917577f34f5a3554b034e3243723b422a4621a25b2b4ad4294519ac128feca,1516627668.625077,User 866 sent 39 tokens to user 859. User 336 sent 24 tokens to user 609. User 911 sent 15 tokens to user 604. User 385 sent 86 tokens to user 896. User 60 sent 50 tokens to user 664. ,10,5e17921198fb1843c1469b71a51d514f3d39c1293965b66ce9bf7342b2d55767
6,5e17921198fb1843c1469b71a51d514f3d39c1293965b66ce9bf7342b2d55767,1516627668.626074,User 614 sent 3 tokens to user 41. User 33 sent 38 tokens to user 600. User 361 sent 76 tokens to user 409. User 984 sent 22 tokens to user 292. User 950 sent 44 tokens to user 752. ,5,5fd415aec16bf12b5811895b9fff18762be81211ca047584f5191b7131391135
7,5fd415aec16bf12b5811895b9fff18762be81211ca047584f5191b7131391135,1516627668.626891,User 665 sent 21 tokens to user 519. User 444 sent 31 tokens to user 338. User 808 sent 91 tokens to user 580. User 725 sent 41 tokens to user 162. User 425 sent 95 tokens to user 478. ,3,56a11fd6b74da1944557935a348b948b1b682c6f319b57cb9d7ef6f0c8929453
8,56a11fd6b74da1944557935a348b948b1b682c6f319b57cb9d7ef6f0c8929453,1516627668.627467,User 774 sent 67 tokens to user 970. User 523 sent 79 tokens to user 449. User 791 sent 66 tokens to user 33. User 639 sent 30 tokens to user 940. User 294 sent 84 tokens to user 222. ,10,565c2ceb5cfd0822d13e4196dd63df614ef8192c07a2400a8d44cf8244fba4e9
9,565c2ceb5cfd0822d13e4196dd63df614ef8192c07a2400a8d44cf8244fba4e9,1516627668.6279922,User 965 sent 48 tokens to user 442. User 788 sent 11 tokens to user 742. User 397 sent 3 tokens to user 2. User 709 sent 33 tokens to user 862. User 35 sent 18 tokens to user 319. ,25,5788641ddaa96f833fbe2aced47134013a955bc79b90654f449074e6ec04ef34
10,5788641ddaa96f833fbe2aced47134013a955bc79b90654f449074e6ec04ef34,1516627668.6287801,User 942 sent 78 tokens to user 996. User 494 sent 13 tokens to user 897. User 279 sent 63 tokens to user 226. User 216 sent 63 tokens to user 568. User 660 sent 80 tokens to user 389. ,15,51137e870a6fcf8ce619cb55b1d390a6796c60716074ac6190e89af0c1befd4f
